nameAr,barcode,gtin,activeIngredients,strength,dosageForm,manufacturer,officialPrice,requiresPrescription,source
1 2 3 (ONE TWO THREE) 20 F.C.TABS.,,,CHLORPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,,ORAL.SOLID,HIKMA PHARMA,10.0,,Elhafez Reference 25065
1 2 3 (ONE TWO THREE) EXTRA 20 F.C.TABS.,,,CHLORPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,,ORAL.SOLID,HIKMA PHARMA,64.0,,Elhafez Reference 25065
1 2 3 (ONE TWO THREE) SUSP. 120 ML,,,CHLORPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE,,ORAL.LIQUID,HIKMA PHARMA,7.0,,Elhafez Reference 25065
2HC F.C.T 20 TABLETS,,,VITAMIN C 1 GM,,ORAL.SOLID,ORGANIX > NOVACURE,37.0,,Elhafez Reference 25065
2M WHITES BEEGU MARIN SPRAY,,,SEA WATER+EUCALYPTUS+GLYCERIN+HYALURONIC ACID,,UNKNOWN,NILL FACTORY COSMETICS > 2M WHITES PHARMA,32.0,,Elhafez Reference 25065
3 FLY 1200 MG 20 TABS.,,,PALMITOYLETHANOLAMIDE(PEA),,ORAL.SOLID,COPAD > DRUG PHARMA EGYPT,26.0,,Elhafez Reference 25065
3 FLY 300 MG 20 TABS.,,,PALMITOYLETHANOLAMIDE(PEA),,ORAL.SOLID,COPAD > DRUG PHARMA EGYPT,36.0,,Elhafez Reference 25065
3 FLY 400 MG 20 TABS,,,PALMITOYLETHANOLAMIDE,,ORAL.SOLID,COPAD EGYPT > DRUG PHARMA EGYPT,65.0,,Elhafez Reference 25065
3 FLY 600 MG 20 TABS.,,,PALMITOYLETHANOLAMIDE(PEA),,ORAL.SOLID,COPAD > DRUG PHARMA EGYPT,32.0,,Elhafez Reference 25065
4 WET INTIMATE GEL 100 ML,,,,,TOPICAL,TURKUAZ MEDICAL CO. > BROTHER PHARMA,40.0,,Elhafez Reference 25065
5-FLUOROURACIL-EBEWE 250MG/5ML I.V. VIAL,,,FLUOROURACIL,,INJECTION,EBEWE > NOVARTIS PHARMA SANDOZ DIVISION,47.5,,Elhafez Reference 25065
5-HT 200 MG 60 CAPS. (ILLEGAL IMPORT),,,L-5-HYDROXY-TRYPTOPHAN,,ORAL.SOLID,PURITANS PRIDE,44.0,,Elhafez Reference 25065
9999999999RR,,,,,ORAL.SOLID,DRUGEYR > DRUGEYE,12.0,,Elhafez Reference 25065
A-VITON 50.000 I.U. 20 CAPS.,,,VITAMIN A,,ORAL.SOLID,KAHIRA,5.0,,Elhafez Reference 25065
A.ONE SOAP 100 GM,,,,,SOAP,A ONE PHARM,9.5,,Elhafez Reference 25065
A.T.G FRESENIUS 20MG/ML CONC. VIAL 5 ML (CANCELLED),,,ANTI-T LYMPHOCYTE(ANTI-THYMOCYTE) IMMUNOGLOBULIN=A.T.G.,,INJECTION,FRESENIUS KABI,1100.0,,Elhafez Reference 25065
A1 CREAM 100 GM,,,CASTOR OIL+ZINC OXIDE+ARACHIS OIL+BEES WAX,,TOPICAL,EGPI > EGD,15.0,,Elhafez Reference 25065
A1 CREAM 50 GM,,,CASTOR OIL+ZINC OXIDE+ARACHIS OIL+BEES WAX,,TOPICAL,EGPI > EGD,25.0,,Elhafez Reference 25065
AAPE RENEWAL EYE CREAM 20 ML,,,,,TOPICAL,PROSTEMICS > NORMANDY PHARMA,420.0,,Elhafez Reference 25065
AAPE RENEWAL FACE CREAM 50 ML,,,,,TOPICAL,PROSTEMICS > NORMANDY PHARMA,750.0,,Elhafez Reference 25065
AAPE RENEWAL FACIAL TONER 130 ML,,,,,UNKNOWN,PROSTEMICS > NORMANDY PHARMA,370.0,,Elhafez Reference 25065
AAPE RENEWAL MASK 10 PCS,,,,,UNKNOWN,PROSTEMICS > NORMANDY PHARMA,950.0,,Elhafez Reference 25065
AAPE RENEWAL SERUM 40 ML,,,,,UNKNOWN,PROSTEMICS > NORMANDY PHARMA,750.0,,Elhafez Reference 25065
AAPE RENEWAL SUNSCREEN SPF 45 - 60 ML,,,,,TOPICAL,PROSTEMICS > NORMANDY PHARMA,225.0,,Elhafez Reference 25065
ABASAGLAR 100 I.U./ML 5 CARTRIDGES,,,INSULIN GLARGINE,,INJECTION,ELI LILLY > AKHNATON TRADING & DISTRIBUTION,645.0,,Elhafez Reference 25065
ABASAGLAR KWIKPEN 100 I.U./ML 5 PENS,,,INSULIN GLARGINE,,INJECTION,ELI LILLY > AKHNATON TRADING & DISTRIBUTION,725.0,,Elhafez Reference 25065
ABC IMMUNE 10 SACHETS,,,VITAMIN C+ZINC,,EFF,AUG PHARMA,40.0,,Elhafez Reference 25065
ABC LEMON & HONEY SYRUP 320 ML,,,NATURAL HONEY+CITRIC ACID+LEMON JUICE CONCENTRATE,,ORAL.LIQUID,AUG PHARMA,168.0,,Elhafez Reference 25065
ABC LEMON & HONEY SYRUP 60 ML,,,NATURAL HONEY+CITRIC ACID+LEMON JUICE CONCENTRATE,,ORAL.LIQUID,AUG PHARMA,54.0,,Elhafez Reference 25065
ABC MOCOTIVE TOPICAL SPRAY 70 ML,,,ALCOHOL 70%+TEA TREE OIL +VIT.E+CHAMOMILE +ALUMINIUM CHLORIDE HEXAHYDRATE+GLYCERIN,,SPRAY,> EGYSTAR PHARM,30.0,,Elhafez Reference 25065
ABC OMEGA 3-6-9 SYRUP 60 ML,,,WHEAT GERM OIL,,ORAL.LIQUID,AUG PHARMA,88.0,,Elhafez Reference 25065
ABDOMINAL BELT,,,,,UNKNOWN,,170.0,,Elhafez Reference 25065
ABERTO CREAM 75 GM,,,GLYCERIN+EXT (LICORICE-GREEN-CUCUMBER)+PARAFFIN OIL+VITAMIN E&C+KOJIC ACID+TITANIUM DIOXIDE,,TOPICAL,COSMOPACK > MIRACLE,49.9,,Elhafez Reference 25065
ABEVAC 1MG/ML VIAL,,,BEE VENOM,,INJECTION,VACSERA,38.0,,Elhafez Reference 25065
ABEVMY 100MG/4ML CONC. VIAL FOR I.V. INF.,,,BEVACIZUMAB,,INJECTION,MYLAN,4940.0,,Elhafez Reference 25065
ABEVMY 400MG/16ML CONC. VIAL FOR I.V. INF.,,,BEVACIZUMAB,,INJECTION,MYLAN,17081.0,,Elhafez Reference 25065
ABILAXINE 10MG 5 ADULT SUPP.,,,BISACODYL,,RECTAL,GLAXO SMITHKLINE,4.0,,Elhafez Reference 25065
ABILAXINE 5 MG 20 COATED TAB.,,,BISACODYL,,ORAL.SOLID,GLAXO SMITHKLINE,4.5,,Elhafez Reference 25065
ABILAXINE 5MG 5 INFANTILE SUPP.,,,BISACODYL,,RECTAL,GLAXO SMITHKLINE,3.2,,Elhafez Reference 25065
ABILIA 15MG 30 F.C.TABS.,,,ARIPIPRAZOLE,,ORAL.SOLID,CHEMIPHARM,105.0,,Elhafez Reference 25065
ABILIA 20MG 30 F.C.TABS.,,,ARIPIPRAZOLE,,ORAL.SOLID,CHEMIPHARM,120.0,,Elhafez Reference 25065
ABILIFY 10 MG 10 DISCMELT ORALLY DIS.TABS. (N/A),,,ARIPIPRAZOLE,,ORAL.SOLID,BRISTOL-MYERS SQUIBB > OTSUKA,190.0,,Elhafez Reference 25065
ABILIFY 10 MG 10 TABS.,,,ARIPIPRAZOLE,,ORAL.SOLID,OTSUKA,220.5,,Elhafez Reference 25065
ABILIFY 15 MG 10 DISCMELT ORALLY DIS.TABS. (N/A),,,ARIPIPRAZOLE,,ORAL.SOLID,BRISTOL-MYERS SQUIBB > OTSUKA,330.5,,Elhafez Reference 25065
ABILIFY 15 MG 10 TABS.,,,ARIPIPRAZOLE,,ORAL.SOLID,OTSUKA,330.5,,Elhafez Reference 25065
ABILIFY 5 MG 10 TABS.,,,ARIPIPRAZOLE,,ORAL.SOLID,OTSUKA,134.5,,Elhafez Reference 25065
ABILIFY MAINTENA 300 MG I.M. PREFILLED SYRINGE,,,ARIPIPRAZOLE,,INJECTION,OTSUKA,3090.0,,Elhafez Reference 25065
ABILIFY MAINTENA 400 MG I.M. PREFILLED SYRINGE,,,ARIPIPRAZOLE,,INJECTION,OTSUKA,4062.0,,Elhafez Reference 25065
